,Date,county Name,Distance,Time,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Avg Stride Length,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,AQI,Category
401,11/11/20,Middlesex,2.1,0:13:50,186,192,6:36,5:56,1.31,00:34.8,3,0:13:50,0:13:50,22,Good
172,5/6/21,Westchester,0.78,05:06.3,188,194,6:32,6:03,1.31,05:06.3,1,0:05:06,05:06.3,35,
173,5/6/21,Westchester,0.77,05:02.8,188,194,6:31,5:59,1.31,05:02.8,1,05:02.8,05:02.8,35,
249,2/24/21,Middlesex,0.13,00:52.1,190,200,6:28,5:09,1.31,00:52.0,1,0:00:52,00:52.1,,
839,3/20/19,Westchester,0.15,00:58.6,190,194,6:28,3:56,1.31,00:00.0,1,0:00:55,00:58.6,44,Good
191,4/9/21,Middlesex,1.05,06:42.4,192,200,6:23,5:39,1.31,00:17.0,2,06:41.3,06:42.4,40,
988,11/28/18,Westchester,0.71,04:54.9,178,192,6:57,5:15,1.3,00:00.0,1,0:04:51,04:54.9,20,Good
538,9/12/20,Middlesex,0.21,01:24.4,186,190,6:40,5:31,1.3,01:24.4,1,0:01:24,01:24.4,32,Good
150,5/19/21,Middlesex,0.78,05:09.4,188,196,6:35,5:59,1.3,05:09.4,1,05:09.4,05:09.4,38,
106,6/10/21,Middlesex,0.78,05:04.2,190,200,6:30,5:41,1.3,05:04.2,1,05:04.2,05:04.2,,
550,9/6/20,Middlesex,0.09,00:33.9,202,214,6:09,4:49,1.3,00:33.9,1,00:33.9,00:33.9,40,Good
1070,9/29/18,Westchester,3.07,0:22:19,172,214,7:16,4:25,1.29,00:00.0,4,0:21:58,0:22:19,31,Good
1030,11/7/18,Westchester,2.08,0:14:51,174,196,7:09,4:28,1.29,00:00.0,3,0:14:51,0:14:51,26,Good
989,11/28/18,Westchester,0.74,05:13.0,176,200,7:06,4:28,1.29,00:00.0,1,0:05:10,05:13.0,20,Good
893,1/31/19,Westchester,2.04,0:14:03,180,188,6:53,5:34,1.29,06:30.0,3,0:13:50,0:14:03,32,Good
240,3/14/21,Middlesex,0.5,03:26.4,182,188,6:52,5:49,1.29,03:26.4,1,0:03:26,03:26.4,,
165,5/12/21,Westchester,0.5,03:18.7,190,196,6:35,5:52,1.29,03:18.7,1,03:18.7,03:18.7,34,
187,4/14/21,Middlesex,0.52,03:27.2,190,194,6:35,6:16,1.29,03:27.2,1,0:03:27,03:27.2,38,
196,4/6/21,Middlesex,0.52,03:21.0,194,202,6:27,6:00,1.29,03:20.1,1,03:21.0,03:21.0,35,
855,3/13/19,Westchester,0.23,01:38.3,174,184,7:12,5:34,1.28,00:00.0,1,0:01:37,01:38.6,33,Good
987,11/28/18,Westchester,0.71,05:00.9,178,190,7:02,5:10,1.28,00:00.0,1,0:04:57,05:00.9,20,Good
946,12/19/18,Westchester,0.32,02:13.5,180,192,7:00,5:39,1.28,00:00.0,1,0:02:12,02:13.5,34,Good
631,9/20/19,Middlesex,5.01,0:34:16,184,200,6:50,5:08,1.28,00:02.6,6,0:34:14,0:34:16,35,Good
