Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,6/8/21 7:59,FALSE,Running,0.5,47,05:36.5,170,188,11:16,6:43,--,--,0.84,0,0,0,0,0,0:00,0,0:00,No,05:36.5,1,0,0:05:36,05:36.5,--,--
Running,11/4/20 17:40,FALSE,Waltham Running,0.52,50,05:51.9,170,190,11:13,10:20,--,--,0.84,0,0,0,0,0,0:00,0,0:00,No,05:51.9,1,0,05:51.9,05:51.9,39,44
Running,11/14/20 19:59,FALSE,Running,0.54,51,06:01.9,170,208,11:13,10:03,--,--,0.84,0,0,0,0,0,0:00,0,0:00,No,06:01.9,1,0,06:01.9,06:01.9,--,--
Running,9/15/20 19:18,FALSE,Waltham Running,0.52,50,05:47.0,168,192,11:12,9:47,--,--,0.86,0,0,0,0,0,0:00,0,0:00,No,05:47.1,1,0,0:05:47,05:47.0,39,45
Running,7/16/21 7:14,FALSE,Waltham Running,1,96,0:11:13,170,174,11:11,10:33,35,35,0.85,0,0,0,0,0,0:00,0,0:00,No,00:01.5,2,0,0:11:13,0:11:48,161,209
Running,10/27/20 16:10,FALSE,Waltham Running,0.52,46,05:48.0,168,184,11:11,9:47,--,--,0.86,0,0,0,0,0,0:00,0,0:00,No,05:48.0,1,0,0:05:48,05:48.0,39,45
Running,7/20/21 18:16,FALSE,Running,1.5,143,0:16:47,168,178,11:11,8:28,--,--,0.86,0,0,0,0,0,0:00,0,0:00,No,05:33.2,2,0,0:16:47,0:18:29,--,--
Running,4/9/21 20:45,FALSE,Running,1.2,115,0:13:26,172,198,11:10,5:46,--,--,0.84,0,0,0,0,0,0:00,0,0:00,No,02:07.6,2,0,0:13:26,0:13:26,--,--
Running,8/4/21 7:33,FALSE,Ossining Running,1.7,184,0:19:00,170,182,11:09,10:40,10,18,0.85,0,0,0,0,0,0:00,0,0:00,No,07:48.5,2,0,0:18:59,0:19:00,306,318
Running,11/16/20 17:29,FALSE,Waltham Running,0.26,25,02:51.5,168,184,11:09,9:33,--,--,0.86,0,0,0,0,0,0:00,0,0:00,No,02:51.5,1,0,02:51.5,02:51.5,39,45
Running,10/1/18 16:19,FALSE,Ossining Running,2.22,193,0:24:49,166,190,11:09,6:29,535,531,0.87,0,0,0,0,0,0:00,0,0:00,No,00:00.0,3,0,0:24:48,0:24:49,248,321
Running,7/27/21 7:35,FALSE,Waltham Running,1.51,166,0:16:46,172,186,11:08,9:58,--,--,0.84,0,0,0,0,0,0:00,0,0:00,No,05:40.6,2,0,0:16:46,0:16:46,39,46
Running,11/7/20 17:40,FALSE,Waltham Running,0.52,48,05:45.5,168,188,11:06,10:35,--,--,0.86,0,0,0,0,0,0:00,0,0:00,No,05:45.5,1,0,05:45.5,05:45.5,39,45
